u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
375694438,4537840691,0,337440333,,MV 06,cycleway,,"LINESTRING (781183.6521093834 5115610.847352658, 781192.7312138472 5115615.060335168, 781205.6837948423 5115620.208100866, 781250.9212433322 5115632.904850824, 781281.1402740851 5115639.256972636, 781324.8470768176 5115665.400092726, 781334.4094622133 5115675.269019417, 781380.6178520904 5115722.948220523, 781386.3982525314 5115735.282270544)",245.867,s3,2,11.453965187072754,10-20: extreme,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334605,3506974439,0,178879019,,,cycleway,,"LINESTRING (780755.2535854869 5113532.442036055, 780736.804044426 5113516.189075996, 780721.7241454578 5113501.927391356, 780707.7707227948 5113484.366170968, 780697.6096801504 5113470.218328403, 780690.3614809297 5113459.755326256)",97.746,s3,1,2.538492441177368,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334637,481334639,0,40032442,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (780693.5073858984 5115384.275456162, 780703.3536009693 5115378.847883523, 780725.356179527 5115365.54902688, 780746.1327326223 5115354.854970186)",60.167,s3,1,2.20951247215271,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334639,481334646,0,40032442,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (780746.1327326223 5115354.854970186, 780760.2747376689 5115351.795220953, 780790.1440239678 5115339.625066659, 780819.9439534738 5115328.465008143, 780852.9780254895 5115313.111226858, 780884.7603662603 5115296.531250315, 780907.0043016546 5115283.555777911, 780924.7071835091 5115269.5150150675, 780949.1690228209 5115262.363883067, 781041.387365436 5115228.748256619, 781084.9776167506 5115207.210632562, 781143.8681831536 5115173.749607141, 781150.2139440698 5115175.298694499)",444.467,s3,1,2.290067672729492,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334639,481334637,0,40032442,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (780746.1327326223 5115354.854970186, 780725.356179527 5115365.54902688, 780703.3536009693 5115378.847883523, 780693.5073858984 5115384.275456162)",60.167,s3,1,2.0391931533813477,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334646,737610454,0,40032442,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (781150.2139440698 5115175.298694499, 781151.3103960057 5115194.598686907, 781155.8452423918 5115218.58767647, 781157.3255804512 5115233.2292357655, 781163.3533029107 5115242.724165469, 781168.1097119986 5115247.028280358, 781175.4591516728 5115253.188144033, 781184.5817294638 5115265.241001691, 781208.09261483 5115302.792575362, 781219.9906200074 5115321.664013818, 781235.4981891604 5115342.838695392, 781256.182595703 5115367.245833966, 781276.774667395 5115389.444395954, 781285.5250869121 5115402.68278002, 781292.8562846897 5115414.631376535, 781301.49059692 5115433.097191202, 781310.5472406102 5115450.7919276655, 781317.4688392921 5115460.194470337)",337.368,s3,1,6.836452960968018,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334646,481334639,0,40032442,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (781150.2139440698 5115175.298694499, 781143.8681831536 5115173.749607141, 781084.9776167506 5115207.210632562, 781041.387365436 5115228.748256619, 780949.1690228209 5115262.363883067, 780924.7071835091 5115269.5150150675, 780907.0043016546 5115283.555777911, 780884.7603662603 5115296.531250315, 780852.9780254895 5115313.111226858, 780819.9439534738 5115328.465008143, 780790.1440239678 5115339.625066659, 780760.2747376689 5115351.795220953, 780746.1327326223 5115354.854970186)",444.467,s3,1,2.089951515197754,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
737610454,481334646,0,40032442,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (781317.4688392921 5115460.194470337, 781310.5472406102 5115450.7919276655, 781301.49059692 5115433.097191202, 781292.8562846897 5115414.631376535, 781285.5250869121 5115402.68278002, 781276.774667395 5115389.444395954, 781256.182595703 5115367.245833966, 781235.4981891604 5115342.838695392, 781219.9906200074 5115321.664013818, 781208.09261483 5115302.792575362, 781184.5817294638 5115265.241001691, 781175.4591516728 5115253.188144033, 781168.1097119986 5115247.028280358, 781163.3533029107 5115242.724165469, 781157.3255804512 5115233.2292357655, 781155.8452423918 5115218.58767647, 781151.3103960057 5115194.598686907, 781150.2139440698 5115175.298694499)",337.36799999999994,s3,1,6.688113689422607,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
912306659,4144795322,0,130071811,,,cycleway,,"LINESTRING (782291.6981710632 5117726.990096682, 782318.3215281622 5117699.814988843, 782354.8721242268 5117667.775629129, 782403.2603807373 5117635.257848914, 782428.259098988 5117619.5093614375, 782447.2646965958 5117607.715451075)",196.45,s3,1,2.4516494274139404,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894585978,1894585980,0,179118605,,Itinerario pedemontano pordenonese,cycleway,,"LINESTRING (781328.624212859 5115456.44228952, 781336.5805231386 5115464.211188243, 781347.1292851474 5115475.194186734, 781394.7387524786 5115537.912187736, 781405.5892340463 5115550.579181424, 781414.1594978466 5115558.1203155015)",132.95899999999997,s3,1,6.204451084136963,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
